,SVM-RBF,LogReg,LDA,KNN-5,GaussianNB,RandomForest,ExtraTrees,GradBoost,MLP,XGBoost,LightGBM
Frontal,0.6717184265010352,0.5168926167127013,0.4542053296098603,0.5813576637429849,0.4714273845131273,0.516019294237116,0.6188806380638064,0.49035623845699816,0.26079238487265244,0.5069715286433553,0.5598929957163694
Central,0.7550991473643408,0.5177755009107469,0.42204301741873995,0.6548203172716618,0.5175989364965743,0.5316464604128182,0.6059850936549965,0.49992153679653684,0.2769435436933566,0.5850192624386173,0.6224421972178702
Parietal,0.8379862782946913,0.599864956514205,0.5425965939727408,0.7401819923371648,0.5936982181364203,0.7016193333073616,0.8143663895248423,0.6716119621822404,0.36988170966665584,0.6875660514244256,0.7149711399711399
Temporal,0.584184336996742,0.3985232074387232,0.40175549469840605,0.5381765389082461,0.3727106227106227,0.4686630666012109,0.6062616628654364,0.5424231467193593,0.2842144221916883,0.5195855195855196,0.5197854043094081
Occipital,0.5297868389780155,0.32957964689941016,0.3406947524020694,0.5710737050725802,0.3856899941548435,0.5132433848005159,0.5773111186785559,0.4678354288706135,0.2287279063978093,0.46062437260259403,0.498781801076883
