,SVM-RBF,LogReg,LDA,KNN-5,GaussianNB,RandomForest,ExtraTrees,GradBoost,MLP,XGBoost,LightGBM
Frontal,0.7083333333333334,0.5416666666666666,0.5297619047619048,0.6309523809523809,0.5059523809523809,0.6488095238095238,0.6964285714285714,0.5773809523809523,0.32142857142857145,0.5952380952380952,0.6130952380952381
Central,0.7440476190476191,0.5178571428571429,0.5,0.6964285714285714,0.5357142857142857,0.6488095238095238,0.6785714285714286,0.6190476190476191,0.43452380952380953,0.6369047619047619,0.6666666666666666
Parietal,0.8392857142857143,0.5833333333333334,0.5773809523809523,0.7619047619047619,0.6309523809523809,0.7380952380952381,0.8095238095238095,0.7202380952380952,0.5,0.7023809523809523,0.7321428571428571
Temporal,0.6190476190476191,0.40476190476190477,0.5119047619047619,0.5952380952380952,0.47023809523809523,0.5654761904761905,0.6607142857142857,0.5952380952380952,0.4523809523809524,0.5952380952380952,0.5892857142857143
Occipital,0.5357142857142857,0.3273809523809524,0.47023809523809523,0.5952380952380952,0.48214285714285715,0.5654761904761905,0.6011904761904762,0.5178571428571429,0.36904761904761907,0.5059523809523809,0.5357142857142857
